date,temperatur_max,temperatur_min,temperatur_mean,precipitation_sum,wind_speed_max,wind_direction_dominant
2023-01-01,20.535,8.485001,13.216251,0.0,9.36,336.32022
2023-01-02,19.335,7.085,12.426665,0.0,10.538843,337.59012
2023-01-03,18.984999,6.935,11.71,0.0,8.404285,322.76508
2023-01-04,17.635,4.985,10.289168,0.0,10.009036,295.5976
2023-01-05,16.885,4.285,9.318334,0.0,9.585739,298.17456
2023-01-06,15.885,4.435,8.601666,0.0,12.0694,292.4828
2023-01-07,17.185,4.685,9.134999,0.0,11.928989,277.3429
2023-01-08,17.885,4.285,10.332916,0.0,8.404285,283.92355
2023-01-09,18.385,6.085,10.676666,0.0,10.390226,291.4868
2023-01-10,20.085,7.085,11.7975,0.0,11.5199995,279.61786
2023-01-11,19.285,6.1349998,11.137084,0.0,9.178235,75.03778
2023-01-12,19.734999,6.435,12.991249,0.2,9.227524,98.31754
2023-01-13,20.835,10.085,14.976666,4.9,16.29174,92.772385
2023-01-14,21.085,9.385,14.812084,0.0,15.124284,289.44012
2023-01-15,16.785,5.735,10.759999,0.0,16.343367,275.50922
2023-01-16,16.335,4.985,9.993335,0.0,9.227524,283.28162
2023-01-17,17.085,4.835,10.178749,0.0,10.144082,290.31567
2023-01-18,17.635,4.735,10.495417,0.0,9.983106,292.47943
2023-01-19,18.685,4.935,12.878749,0.0,8.64,313.64685
2023-01-20,20.484999,8.085,14.11625,0.1,9.3669195,89.225815
2023-01-21,22.385,8.635,15.405834,0.0,10.495713,348.5461
2023-01-22,21.285,10.035001,15.343333,0.0,9.686609,330.25522
2023-01-23,23.135,11.385,17.666248,0.0,15.629972,322.95068
2023-01-24,24.385,14.535001,18.589163,0.0,11.304229,66.29965
2023-01-25,22.285,13.785001,17.232916,9.000001,18.11841,19.106434
2023-01-26,23.535,13.285001,17.91625,0.0,15.2947035,294.68652
2023-01-27,21.484999,9.835,15.3620825,0.0,15.978486,279.4264
2023-01-28,21.035,9.435,14.118333,0.0,10.823973,272.86234
2023-01-29,21.484999,6.435,14.120416,0.0,8.404285,70.833565
2023-01-30,22.885,10.335,16.270414,0.0,19.586119,334.8643
2023-01-31,23.135,11.985001,16.941248,0.0,18.388212,290.4905
2023-02-01,21.435,10.435,15.147502,0.0,17.418196,270.56726
2023-02-02,21.234999,9.985001,14.387085,0.0,12.287555,269.26312
2023-02-03,22.335,10.735001,15.670418,0.0,14.81259,286.04794
2023-02-04,23.734999,10.885,16.849583,0.0,16.854767,276.41492
2023-02-05,24.135,10.235001,16.3975,0.0,12.72283,276.37018
2023-02-06,25.135,10.135,17.332918,0.0,10.829958,291.6023
2023-02-07,26.635,12.285001,18.955833,0.0,17.309973,284.5992
2023-02-08,23.885,11.085,16.972498,0.0,19.191748,280.3442
2023-02-09,25.085,10.635,18.06833,0.0,12.413476,274.88107
2023-02-10,27.484999,10.885,19.441248,0.0,10.182337,153.761
2023-02-11,29.085,13.185,20.945415,0.0,16.1198,290.14697
2023-02-12,25.035,13.485001,18.6225,0.0,28.220419,290.1254
2023-02-13,21.935,10.835,16.099583,0.0,27.952787,277.65634
2023-02-14,22.585,9.485001,15.355832,0.0,14.186923,300.2283
2023-02-15,24.385,9.435,16.799583,0.0,9.19939,344.81412
2023-02-16,25.984999,11.385,19.512083,0.0,8.404285,77.65516
2023-02-17,27.185,12.685,20.432915,0.0,9.19939,181.90906
2023-02-18,27.535,15.085,20.793331,0.0,8.766573,260.97556
2023-02-19,28.535,14.785001,21.330832,0.0,10.315115,280.0606
2023-02-20,30.835,14.635,22.4975,0.0,10.195057,227.36952
2023-02-21,30.935,15.835,22.86,0.0,12.594856,182.36479
2023-02-22,31.835,16.285,23.170412,0.0,19.228851,311.8651
2023-02-23,30.935,14.635,22.172503,0.0,21.603,287.29715
2023-02-24,29.535,13.485001,21.089167,0.0,15.978486,283.84915
2023-02-25,29.635,13.385,21.330832,0.0,9.793058,333.58902
2023-02-26,30.685,16.635,22.553751,0.0,10.233123,308.34888
2023-02-27,31.135,15.685,22.764166,0.0,18.504139,304.5715
2023-02-28,31.885,15.535001,23.264166,0.0,16.563911,295.03116
2023-03-01,31.885,16.035,23.557915,0.0,15.778516,312.00513
2023-03-02,32.585003,18.285,25.018335,0.0,19.022177,292.57043
2023-03-03,33.035,19.535,25.807915,0.0,24.27265,293.0984
2023-03-04,32.835003,19.234999,25.605833,0.0,21.385939,297.56226
2023-03-05,32.535,18.335,24.753746,0.0,21.53089,282.90607
2023-03-06,31.335,16.835,23.982912,0.0,21.924562,294.87576
2023-03-07,31.685,16.234999,24.39125,0.0,16.08761,273.4521
2023-03-08,30.685,17.734999,23.185,3.2,22.961115,149.9466
2023-03-09,29.935,15.985,21.6975,2.6,20.12461,293.3383
2023-03-10,30.234999,16.335,23.553751,0.0,7.9932976,290.72116
2023-03-11,30.984999,15.435,24.272497,0.0,9.028754,293.91235
2023-03-12,31.085,17.085,24.426666,0.0,9.3669195,313.9521
2023-03-13,32.535,18.835,25.534996,0.0,13.684735,338.33875
2023-03-14,33.235,17.185,25.03083,0.0,25.420181,275.07663
2023-03-15,33.535,17.585,25.90375,0.0,15.876775,324.52454
2023-03-16,32.935,19.635,25.809998,0.0,21.96,174.28944
2023-03-17,30.935,17.835,22.939165,0.3,21.413193,115.72557
2023-03-18,28.335,16.734999,21.945414,5.7000003,14.84318,93.23497
2023-03-19,29.285,16.585,22.712082,5.8,10.233123,102.390854
2023-03-20,24.835,17.035,19.749582,17.800001,13.905509,97.17422
2023-03-21,24.935,14.935,19.357916,16.9,17.782688,107.89057
2023-03-22,26.685,14.935,21.097498,0.0,14.587776,295.76926
2023-03-23,29.234999,15.835,22.316252,0.0,19.770523,281.98538
2023-03-24,31.135,18.085,23.922499,0.3,18.25026,55.55176
2023-03-25,30.185,18.335,24.10167,0.5,22.206486,59.110783
2023-03-26,31.185,18.285,24.359999,0.0,18.681883,302.47116
2023-03-27,31.234999,17.785,23.974585,0.0,24.95452,292.06287
2023-03-28,31.585,17.135,24.307915,0.0,19.829433,304.21576
2023-03-29,33.285,17.685,25.880835,0.0,13.830749,325.0079
2023-03-30,34.385002,18.234999,27.053747,1.6,25.671307,264.91595
2023-03-31,30.635,17.135,22.887083,7.2999997,21.94524,117.474335
2023-04-01,27.835,16.935,21.74125,2.6,19.592731,323.13016
2023-04-02,30.035,17.135,23.982912,0.0,22.476227,294.78033
2023-04-03,33.385002,18.085,26.164167,0.0,22.66857,301.84467
2023-04-04,33.135002,19.135,25.749582,0.4,20.5484,294.97388
2023-04-05,33.385002,16.935,25.301664,0.0,21.485697,306.35272
2023-04-06,34.035,17.385,26.289167,0.0,18.472595,300.7057
2023-04-07,34.785,18.535,26.293333,0.0,22.406927,303.76462
2023-04-08,35.285,18.484999,27.457916,0.0,15.277749,312.85345
2023-04-09,36.335003,18.785,27.766249,0.0,20.65848,309.9243
2023-04-10,35.885002,18.885,27.49125,0.0,21.67786,299.5583
2023-04-11,36.585003,19.085,28.75583,0.0,24.696104,291.3966
2023-04-12,38.685,21.885,30.957916,0.0,25.683926,303.00803
2023-04-13,39.085003,22.685,31.247498,0.0,25.671307,294.25073
2023-04-14,39.485,22.385,31.43708,0.0,19.61587,288.43503
2023-04-15,39.485,22.185,31.797499,0.0,13.722565,211.64763
2023-04-16,41.285,23.685,32.095417,0.0,20.65848,291.23578
2023-04-17,41.585003,23.685,32.724583,0.0,25.38702,283.9983
2023-04-18,41.935,23.484999,33.60583,0.0,19.95972,282.46658
2023-04-19,42.035,25.984999,34.199585,0.0,22.881958,306.12222
2023-04-20,40.235,25.484999,32.885002,0.0,19.652176,288.46402
2023-04-21,35.235,22.085,29.141245,0.0,18.892282,17.07575
2023-04-22,36.235,21.685,29.174583,0.0,17.581125,287.4299
2023-04-23,34.935,21.035,28.272493,2.8,29.568253,248.25179
2023-04-24,29.885,19.535,24.495415,0.6,30.351225,54.609947
2023-04-25,32.785,18.035,26.728752,0.0,10.538843,53.0069
2023-04-26,34.235,21.734999,28.247498,0.0,10.538843,289.39215
2023-04-27,35.935,21.835,29.328756,0.0,14.081477,259.2756
2023-04-28,36.635002,21.785,28.705832,0.0,27.248455,291.65237
2023-04-29,34.885002,23.984999,28.99958,0.0,15.986593,262.17944
2023-04-30,29.685,20.234999,24.195417,13.5,15.137133,153.67676
2023-05-01,27.234999,19.685,23.1225,5.3,20.870687,123.01983
2023-05-02,29.335,20.135,24.757914,0.6,9.605998,82.58546
2023-05-03,29.385,20.335,24.141249,7.5,10.948973,73.25619
2023-05-04,29.285,20.385,24.828745,0.1,7.968939,324.69855
2023-05-05,32.535,20.984999,26.770416,0.0,16.075521,299.60654
2023-05-06,35.335003,22.085,28.916252,0.0,20.94507,289.028
2023-05-07,36.785,22.484999,29.4475,0.0,19.586119,293.03683
2023-05-08,35.835003,21.935,29.42875,0.0,16.923828,5.9138556
2023-05-09,38.785,23.185,30.487082,0.0,22.415602,293.7284
2023-05-10,37.085003,20.734999,28.689165,0.0,18.899143,295.8235
2023-05-11,38.035,21.734999,29.66208,0.0,17.148247,293.82245
2023-05-12,38.735,21.984999,31.003748,0.0,11.525623,89.99999
